"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_225348_129";0.1;0.8;46.0;"Pippip";0.98;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_225816_968";0.6;2.8;11.0;"noise";0.85;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_225816_968";"0.0";2.5;53.0;"Pippip";0.99;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_231904_000";1.6;1.7;42.0;"Leppun";0.07;"noise, Yposp";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_231904_000";"0.0";1.1;13.0;"Tetvir";0.25;"noise";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_234904_000";0.8;0.9;15.0;"noise";0.11;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_234904_000";0.5;1.1;13.0;"piaf";0.68;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_001904_000";0.4;1.9;10.0;"piaf";0.46;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_002142_349";"0.0";5.0;41.0;"Eptser";0.92;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_002142_349";"0.0";4.1;14.0;"noise";0.42;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_004904_000";1.3;2.9;12.0;"noise";0.25;"piaf";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_011904_000";0.7;2.1;11.0;"Tetvir";0.17;"noise, piaf";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_014904_000";1.1;1.2;11.0;"noise";0.81;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_021904_000";"0.0";0.8;12.0;"noise";0.97;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_023310_685";"0.0";2.3;50.0;"Myonat";0.99;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_023310_685";0.1;2.3;13.0;"noise";0.31;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_023313_230";"0.0";1.4;46.0;"Myonat";0.99;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_023313_230";"0.0";1.6;13.0;"Phogri";0.75;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_023539_971";"0.0";3.9;49.0;"Myonat";0.99;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_023539_971";0.4;3.9;45.0;"noise";0.5;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_023544_315";"0.0";3.1;90.0;"Myonat";0.99;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_023544_315";0.1;4.3;90.0;"noise";0.57;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_023556_523";"0.0";4.1;65.0;"Myonat";0.99;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_023556_523";"0.0";4.5;31.0;"noise";0.52;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150923_023601_523";0.1;0.6;12.0;"noise";0.57;"";"";"";"";""
